Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
Southend by TGI,"₹ 1,784",Vidyanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 650 Off,4.4, (Very Good),761.0,,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
Capital O 60740 Silver Key,"₹ 1,437",Outer Ring Road | 300 m from Kalamandir Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 355 Off,4.1, (Very Good),1111.0,16%,"['Free Wi-Fi', 'Kitchenette', 'Cafe']",Bangalore,9-8-2021,11-8-2021
Radisson Bengaluru City Center,"₹ 3,000",Ulsoor,,4.2, (Very Good),1571.0,36%,"['Yoga', 'Lounge', 'Free Parking']",Bangalore,9-8-2021,11-8-2021
Octave Hotel & Spa Marathahalli,"₹ 1,000",Outer Ring Road | 860 m from Cessna Business Park,,4.1, (Very Good),472.0,11%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9-8-2021,11-8-2021
Capital O 14972 Hotel Ekaa,"₹ 1,558",Hosur road | 53 m from Kudlu Gate Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.2, (Good),98.0,51%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9-8-2021,11-8-2021
Hotel Himalaya by Monarch,"₹ 1,077",Gandhi Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 274 Off,4.6, (Excellent),580.0,,"['Conference Room', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9-8-2021,11-8-2021
Clarks Exotica Resort & Spa,"₹ 5,381",Chowdenahalli | 31.2 km from city centre10.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 2613 Off,3.8, (Good),1313.0,,"['Free Parking', 'Free Wi-Fi', 'Outdoor Sports']",Bangalore,9-8-2021,11-8-2021
Hotel Bangalore International,"₹ 1,433",Gandhi Nagar | 2.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 890 Off,4.2, (Very Good),841.0,51%,"['Free Parking', 'Business Centre', 'Bar']",Bangalore,9-8-2021,11-8-2021
"Shivas Galaxy Hotel, Bengaluru","₹ 2,087",Yerthiganahalli | 28.7 km from city centre8.1 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1618 Off,3.8, (Good),1543.0,6%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9-8-2021,11-8-2021
Sterlings Mac Hotel & Suites,"₹ 4,700",HAL old airport road | 120 m from Leela Palace Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 1199 Off,4.3, (Very Good),449.0,28%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Fountain Tree by TGI Hotels,"₹ 2,676",Bannerghatta Main road | 790 m from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 975 Off,3.7, (Good),599.0,20%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
La Marvella A Sarovar Premiere Hotel,"₹ 5,999",Jayanagar | 4.4 km from Jayadeva Hospital,,4.3, (Very Good),395.0,33%,"['Free Parking', 'Childcare Services', 'Free Wi-Fi']",Bangalore,9-8-2021,11-8-2021
"The Fern Residency - Yeshwanthpur, Bengaluru","₹ 1,805",Tumkur road | 3.1 km from Yeswantpur Junction Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 460 Off,4.2, (Very Good),359.0,6%,"['Indoor Games', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
Oakwood Residence Prestige Whitefield,"₹ 4,500",Brookefield,,4.1, (Very Good),451.0,11%,"['Kids Play Area', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
Octave Studio Hotel,"₹ 1,175",Koramangala,,4.3, (Very Good),383.0,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9-8-2021,11-8-2021
Lemon Tree Hotel Whitefield,"₹ 2,028",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 1755 Off,4.2, (Very Good),802.0,25%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
Hotel Ivory Tower,"₹ 2,127",Church Street | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1033 Off,4.3, (Very Good),157.0,,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
Signature Club Resort,"₹ 3,568",Bychapura | 40.8 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1300 Off,4.0, (Very Good),783.0,,"['Free Parking', 'Childcare Services', 'Free Wi-Fi']",Bangalore,9-8-2021,11-8-2021
Days Suites by Wyndham Whitefield,"₹ 1,293",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,4.1, (Very Good),1411.0,42%,"['Lounge', 'Free Parking', 'Bakery']",Bangalore,9-8-2021,11-8-2021
Lemon Tree Hotel Electronics City Bangalore,"₹ 1,997",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 1040 Off,3.9, (Good),248.0,41%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9-8-2021,11-8-2021
Capital O 15950 J K Residency,"₹ 1,293",K R Puram,Exclusive Offer - HDFC Credit Card Users. Get INR 319 Off,4.3, (Very Good),780.0,11%,"['Lounge', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9-8-2021,11-8-2021
Hotel Ramanashree Richmond Circle,"₹ 2,037",Sampangi Rama Nagar | 3.3 km from Kempegowda Bus Station,,3.9, (Good),324.0,53%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9-8-2021,11-8-2021
JP CORDIAL,"₹ 1,688",Majestic | 990 m from Majestic Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 819 Off,4.0, (Very Good),1359.0,33%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
Empire International Koramangala,"₹ 1,284",Koramangala | 890 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 327 Off,3.8, (Good),53.0,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9-8-2021,11-8-2021
"Howard Johnson by Wyndham, Hebbal","₹ 3,290",Near Manyata Tech Park | 1.6 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,3.9, (Good),348.0,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
Taj Bangalore,"₹ 8,000",Bangalore Airport | 36.6 km from city centre1.7 km from Kempegowda Airport,HDFC Credit Card Offer. Get INR 2400 Off & INR 500 TAJ Gift Card,3.7, (Good),1116.0,16%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9-8-2021,11-8-2021
Sai Vishram Business Hotel,"₹ 2,820",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,3.7, (Good),1105.0,34%,"['Free Parking', 'Conference Room', 'Bakery']",Bangalore,9-8-2021,11-8-2021
Capital O 1324 Royal Inchara,"₹ 1,089",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 269 Off,4.0, (Very Good),671.0,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,9-8-2021,11-8-2021
OYO 15270 Atithi Residency,"₹ 1,318",Attibele | 32.1 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 325 Off,4.6, (Excellent),640.0,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9-8-2021,11-8-2021
Icon Boutique Hotel by Bhagini,"₹ 1,532",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 952 Off,4.1, (Very Good),245.0,6%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9-8-2021,11-8-2021
Oakwood Premier Prestige Bangalore,"₹ 5,185",Ashok Nagar | 3.8 km from Kempegowda Bus Station,,4.0, (Very Good),42.0,51%,"['Yoga', 'Lounge', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
The Rialto Hotel,"₹ 1,422",Gandhi Nagar | 1.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 884 Off,4.0, (Very Good),17.0,51%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
"Vivanta Bengaluru, Whitefield","₹ 2,700",Kundalahalli Gate road,HDFC Credit Card Offer. Get INR 810 Off & INR 500 TAJ Gift Card,4.1, (Very Good),242.0,39%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
The Royal Comfort,"₹ 1,837",Jayanagar | 3.3 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 1885 Off,4.3, (Very Good),208.0,15%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9-8-2021,11-8-2021
"Zone By The Park, Electronic City","₹ 2,115",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 540 Off,4.3, (Very Good),363.0,20%,"['Lounge', 'Tours and Treks', 'Indoor Games']",Bangalore,9-8-2021,11-8-2021
MySpace Hotels Silverstar,"₹ 1,224",Gandhi Nagar | 1.6 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 761 Off,4.4, (Very Good),308.0,40%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9-8-2021,11-8-2021
Shivas Gateway,"₹ 2,020",Yerthiganahalli | 28.5 km from city centre7.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1565 Off,3.9, (Good),518.0,48%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9-8-2021,11-8-2021
Radisson Blu Atria Bengaluru,"₹ 3,290",Palace road | 2.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,4.0, (Very Good),722.0,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9-8-2021,11-8-2021
