Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
Hotel Sunstar Inn,"₹ 1,157",Chandkheda | 10.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 421 Off,2.7,,15.0,51%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
hotel suncity,₹ 947,Chandkheda | 8.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 459 Off,3.4, (Good),5.0,16%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
HOTEL  SHRIMAD RESIDENCY,"₹ 2,325",Ramdevnagar | 17.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1129 Off,2.2,,17.0,20%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel gopi palace,₹ 898,Memnagar | 12.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,4.1, (Very Good),14.0,49%,"['Business Centre', 'Vehicle Rentals', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
Hotel Darshan S.P. Ring Road,"₹ 1,519",Nava Naroda | 14.9 km from city centre11.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 387 Off,3.1, (Good),11.0,20%,"['Conference Room', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel New Pathik,₹ 869,Bopal | 21.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 269 Off,3.8, (Good),31.0,10%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Acme by Sky Stays,"₹ 1,116",Ognaj | 14.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 284 Off,3.6, (Good),12.0,11%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
HOTEL GOLD LEAF,"₹ 1,013",Sarkhej Gandhinagar highway | 640 m from Zodiac Square,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,3.4, (Good),8.0,13%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Palav Palace,₹ 685,Kuber Nagar | 8.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,3.5, (Good),57.0,11%,"['Lounge', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
HOTEL KUMKUM,"₹ 1,549",Sabarmati | 10.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1304 Off,3.4, (Good),60.0,16%,"['Butler Services', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Western Inn,₹ 508,GIDC Vatwa | 20.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 129 Off,3.3, (Good),11.0,14%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
OYO 49524 Hotel Bhavya,"₹ 1,228",Maninagar | 12.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 303 Off,,,,27%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
AMBIENCE INN,"₹ 1,504",Prahlad Nagar | 19.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 383 Off,3.9, (Good),8.0,15%,"['Butler Services', 'Free Parking', 'Free Shuttle Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Moscow,"₹ 1,249",Maninagar | 12.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 455 Off,3.3, (Good),7.0,51%,"['ATM', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Opal Club - Ahmedabad,"₹ 1,972",Thaltej | 14.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 2267 Off,3.1, (Good),51.0,6%,"['Kids Play Area', 'Free Parking', 'Restaurant']",Ahmedabad,9-8-2021,11-8-2021
Hotel Leisure,"₹ 1,194",Motera | 8.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,3.4, (Good),23.0,11%,"['Free Parking', 'Bakery', 'ATM']",Ahmedabad,9-8-2021,11-8-2021
Hote Midtown,₹ 980,Near Ahmedabad Train Station | 380 m from Ahmedabad Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 609 Off,2.9,,40.0,45%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Manila,"₹ 1,351",Bhadra | 9.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,4.2, (Very Good),45.0,20%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Khushi Palace,₹ 679,Odhav | 16.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 467 Off,3.3, (Good),7.0,44%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
HOTEL FLOURISH INTERNATIONAL,"₹ 1,692",Changodar | 20.8 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 431 Off,4.5, (Excellent),2.0,16%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
Hotel Green Park,₹ 810,Chanakyapuri | 10.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 282 Off,3.8, (Good),6.0,38%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Silver Plaza,₹ 822,Near Nehru Bridge | 11.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,5.0, (Excellent),2.0,44%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
Hotel Majisha,₹ 940,Gurukul | 14.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,5.0, (Excellent),1.0,15%,"['ATM', 'Free Wi-Fi', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Antra Hospitality Service - Bodakdev,"₹ 1,354",Bodakdev | 850 m from Zodiac Square,Exclusive Offer - HDFC Credit Card Users. Get INR 345 Off,3.3, (Good),81.0,32%,"['Kitchenette', 'Caretaker', 'Living Room']",Ahmedabad,9-8-2021,11-8-2021
Hotel Royal,₹ 940,Makarba | 19.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,3.4, (Good),26.0,6%,"['ATM', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Capital O 37475 Hotel Orchid,"₹ 1,180",Vejalpur | 16.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,3.6, (Good),21.0,25%,"['Lounge', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Deewanji Ni Haveli,"₹ 3,443",Khadia | 10.2 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 918 Off,3.5, (Good),245.0,6%,"['Doctor on Call', 'Caretaker', 'Living Room']",Ahmedabad,9-8-2021,11-8-2021
OYO 11399 Hotel Landmark,"₹ 1,180",Nana Chiloda | 9.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,3.6, (Good),51.0,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Om Balaji,"₹ 1,433",GIDC Naroda | 8.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 890 Off,4.3, (Very Good),3.0,24%,"['Butler Services', 'Kids Play Area', 'Free Parking']",Ahmedabad,9-8-2021,11-8-2021
Hotel Skylon,"₹ 1,674",Near Nehru Bridge | 11.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 427 Off,3.4, (Good),47.0,51%,"['Lounge', 'Butler Services', 'Free Parking']",Ahmedabad,9-8-2021,11-8-2021
The Nest Residency,"₹ 1,059",Asarwa | 6.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,4.0, (Very Good),5.0,20%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
OYO 6684 Hotel Park Sangam,"₹ 1,357",Sarkhej Gandhinagar highway | 20.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 335 Off,3.9, (Good),188.0,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel 4 Point,"₹ 2,532",Sadar Bazar | 3.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1229 Off,3.8, (Good),6.0,15%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
LALJI'S HOTEL & RESTAURANT,₹ 898,D Colony | 8.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,3.2, (Good),153.0,51%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
Hotel Barcelona Exotica,"₹ 1,962",Odhav | 15.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 714 Off,2.0,,1.0,16%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Shrimad Ahmedabad,₹ 684,Chandkheda | 9.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,4.0, (Very Good),8.0,10%,"['Outdoor Sports', 'Business Centre', 'ATM']",Ahmedabad,9-8-2021,11-8-2021
Capital O 891 Hotel Kadamb Inn,"₹ 1,708",Near Nehru Bridge | 10.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 422 Off,3.8, (Good),111.0,11%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Royal King by Sky Stays,₹ 813,Acher | 10.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 577 Off,3.1, (Good),26.0,14%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel The S.G,₹ 912,Sarkhej Gandhinagar highway | 14.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 282 Off,3.7, (Good),221.0,51%,"['Kitchenette', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
OYO 8692 Hotel Vibrant Regency,"₹ 1,333",Navrangpura | 610 m from Navrangpura Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 329 Off,3.4, (Good),53.0,26%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
OYO 893 Hotel Seven,"₹ 1,337",Old Wadaj | 810 m from Subhash Bridge Circle,Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,3.0, (Good),4.0,13%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Shertown,₹ 846,Near Ahmedabad Train Station | 590 m from Ahmedabad Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 216 Off,2.9,,26.0,51%,"['Vehicle Rentals', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
OYO 70998 Hotel Safari Inn,"₹ 1,082",Navrangpura | 10.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 267 Off,2.7,,129.0,51%,"['Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Citizen Inn,₹ 898,Sola Village | 14.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,3.4, (Good),86.0,6%,"['Business Centre', 'ATM', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
OYO Flagship 17196 Hotel Metro Inn,"₹ 1,082",Vasna | 16.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 267 Off,2.7,,3.0,51%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Mansarovar,"₹ 1,128",Maninagar | 13.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,2.3,,21.0,10%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Marshall The Grand Hotel,"₹ 1,289",Paldi | 310 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 801 Off,3.2, (Good),74.0,51%,"['Business Centre', 'Conference Room', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
OYO 15417 Red Rose,"₹ 1,298",Vatva | 18.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 321 Off,3.5, (Good),36.0,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Pathik Villa,"₹ 1,059",Science City | 15.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.9, (Good),19.0,28%,"['Free Parking', 'Business Centre', 'ATM']",Ahmedabad,9-8-2021,11-8-2021
Hotel Lake Palace,₹ 836,Gurukul | 420 m from Ahmedabad One Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,3.9, (Good),48.0,51%,"['Indoor Games', 'Business Centre', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Marigold,₹ 761,Sarkhej- Okaf,Exclusive Offer - HDFC Credit Card Users. Get INR 194 Off,3.0, (Good),3.0,15%,['Air Conditioning'],Ahmedabad,9-8-2021,11-8-2021
OYO 3056 Hotel Sigma Inn,"₹ 1,456",Chandkheda | 10.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,2.2,,46.0,10%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
HOTEL SILVERA GRAND,"₹ 1,181",Nava Naroda | 15.2 km from city centre12.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 573 Off,4.0, (Very Good),1.0,15%,"['Free Parking', 'Business Centre', 'Conference Room']",Ahmedabad,9-8-2021,11-8-2021
Hotel Metropole,₹ 584,Near Nehru Bridge | 730 m from Lal Darwaja AMTS Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 203 Off,4.4, (Very Good),11.0,51%,"['Kids Play Area', 'Free Parking', 'Bonfire']",Ahmedabad,9-8-2021,11-8-2021
MANGALBAG GALLERY AND RESIDENCY,"₹ 4,379",Paldi | 13.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1118 Off,4.0, (Very Good),6.0,32%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
HOTEL KANAN,"₹ 1,692",Bhat | 4.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 431 Off,3.3, (Good),70.0,10%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Ashray Inn,"₹ 1,200",Old Wadaj | 700 m from Subhash Bridge Circle,,3.3, (Good),3.0,18%,"['Indoor Games', 'Conference Room', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
"Home away from home, it's a fully furnished house","₹ 3,596",Gota | 14.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 918 Off,3.1, (Good),207.0,6%,"['Kitchenette', 'Living Room', 'Balcony/Terrace']",Ahmedabad,9-8-2021,11-8-2021
Hotel Silver Springs,₹ 611,Kankaria | 12.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 156 Off,3.9, (Good),127.0,25%,"['Free Parking', 'ATM', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Jalaram Dormitory,₹ 329,Near Ahmedabad Train Station | 420 m from Ahmedabad Railway Station,,5.0, (Excellent),1.0,20%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Apsara,"₹ 1,249",Near Ahmedabad Train Station | 670 m from Ahmedabad Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 455 Off,3.9, (Good),107.0,6%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Relax AC Dormitory,₹ 206,Near Nehru Bridge | 870 m from Lal Darwaja AMTS Bus Terminus,,4.0, (Very Good),5.0,6%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Fun Residency,"₹ 2,026",Ramdevnagar | 17.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 984 Off,3.0, (Good),120.0,11%,"['Tours and Treks', 'Free Parking', 'Business Centre']",Ahmedabad,9-8-2021,11-8-2021
HOTEL NAIGRA,₹ 579,Kalupur | 760 m from Ahmedabad Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 399 Off,4.0, (Very Good),52.0,32%,"['ATM', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sarkhej Residency,"₹ 1,098",Sarkhej | 19.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 533 Off,5.0, (Excellent),1.0,37%,"['Lounge', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
OYO 2284 Hotel Honey Bunny,"₹ 1,122",Navrangpura | 11.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 277 Off,3.2, (Good),93.0,23%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Kells,"₹ 4,321",Sarkhej Gandhinagar highway | 980 m from Zodiac Square,Exclusive Offer - HDFC Credit Card Users. Get INR 1103 Off,5.0, (Excellent),1.0,16%,"['Indoor Games', 'Business Centre', 'Conference Room']",Ahmedabad,9-8-2021,11-8-2021
Hotel Skyland.,₹ 893,Vastral | 16.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 227 Off,2.9,,63.0,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
OYO 64029 Hotel Phoenix,"₹ 1,365",Chandkheda | 8.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 337 Off,3.5, (Good),35.0,6%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Meghdeep,₹ 839,Vatva | 18.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 414 Off,3.4, (Good),8.0,11%,"['Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Shreenath,"₹ 1,353",Maninagar | 13.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 841 Off,4.2, (Very Good),11.0,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Aryavrata Banglows,"₹ 1,880",Jodhpur | 16.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,3.1, (Good),7.0,16%,"['Doctor on Call', 'Kitchenette', 'Caretaker']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sungold,₹ 773,Acher | 10.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 435 Off,3.5, (Good),303.0,20%,"['Butler Services', 'Free Parking', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
OYO 61628 ABC INN,₹ 972,Jodhpur | 16.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 240 Off,4.0, (Very Good),4.0,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Royal Plaza(Paldi),₹ 846,Paldi | 840 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 215 Off,3.6, (Good),19.0,23%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
OYO 27930 Hotel Dev Palace,₹ 913,GIDC Vatwa | 20.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 225 Off,3.2, (Good),5.0,51%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
HOTEL ASHOPALAV,₹ 564,GIDC Vatwa | 20.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 219 Off,3.7, (Good),60.0,15%,"['Kids Play Area', 'Free Wi-Fi', 'Free Parking']",Ahmedabad,9-8-2021,11-8-2021
Hotel Jaunt,₹ 718,Motera | 9.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 264 Off,,,,51%,"['Free Parking', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
OYO 3649 Hotel Sree Balaji Residency,"₹ 1,251",Sarkhej Gandhinagar highway | 990 m from Zodiac Square,Exclusive Offer - HDFC Credit Card Users. Get INR 309 Off,4.6, (Excellent),8.0,12%,"['Free Parking', 'Conference Room', 'ATM']",Ahmedabad,9-8-2021,11-8-2021
Hotel Kalinga Lake View,₹ 718,Kankaria | 10.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 250 Off,3.4, (Good),28.0,24%,"['Free Parking', 'ATM', 'Childcare Services']",Ahmedabad,9-8-2021,11-8-2021
Hotel Maan Residency,"₹ 1,671",Near Nehru Bridge | 11.2 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1039 Off,2.9,,99.0,51%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Long Stay,"₹ 1,034",Sarkhej Gandhinagar highway | 14.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 264 Off,3.6, (Good),77.0,10%,"['ATM', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Mukund Inn,"₹ 1,271",Prahlad Nagar | 17.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 985 Off,3.8, (Good),65.0,20%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Classic Inn,"₹ 1,144",Near Nehru Bridge | 10.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 886 Off,2.9,,26.0,6%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
OYO 67711 Hotel RJ Residency,"₹ 1,559",Navrangpura | 680 m from Navrangpura Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.1, (Good),26.0,25%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Royal Pride,"₹ 1,786",GIDC Vatwa | 17.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 456 Off,3.7, (Good),36.0,36%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sunstay,"₹ 1,027",Navrangpura | 610 m from Navrangpura Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 261 Off,,,,51%,"['Business Centre', 'ATM', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
Galaxy Hotel,₹ 428,Changodar | 25.8 km from city centre28.5 km from Sardar Vallabhbhai Patel International Airport,,3.5, (Good),19.0,6%,"['Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
PRITHVI HOTEL,"₹ 1,439",Maninagar | 12.4 km from Sardar Vallabhbhai Patel International Airport,,2.7,,15.0,11%,"['Free Parking', 'Business Centre', 'Conference Room']",Ahmedabad,9-8-2021,11-8-2021
OYO 11067 Hotel Swastik Inn,"₹ 1,180",Navrangpura | 650 m from Navrangpura Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,,,,14%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
Hotel sunsarovar,₹ 764,Maninagar East | 13.2 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,3.7, (Good),59.0,20%,"['ATM', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
The Orient Club,"₹ 1,078",Near Nehru Bridge | 940 m from Lal Darwaja AMTS Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 443 Off,2.9,,54.0,51%,"['Lounge', 'Butler Services', 'Indoor Games']",Ahmedabad,9-8-2021,11-8-2021
Hotel Anupam,₹ 763,Paldi | 860 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,3.2, (Good),141.0,31%,"['Conference Room', 'Vehicle Rentals', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Grand Unity,"₹ 1,266",Changodar | 17.3 km from city centre26.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 615 Off,,,,17%,"['Free Parking', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
